Month,Division,Account,Shipped_Sales,Shipped_COGS,Margin_Dollars,Units,Transactions,Margin_Pct
1,Division C - Global Brands,Brand Direct A,467459.07,350157.28,117301.79,79889,344,25.09
1,Division C - Global Brands,Retailer 030,12865.64,6478.47,6387.17,1691,4,49.65
1,Division C - Global Brands,Retailer 043,57156.48,65250.32,-8093.84,8370,33,-14.16
1,Division C - Global Brands,Department Store B,203528.9,129642.51,73886.39,18794,37,36.3
1,Division C - Global Brands,Retailer 027,188531.56,123715.09,64816.47,24502,11,34.38
1,Division C - Global Brands,Off-Price Retailer A,302648.28,234400.98,68247.3,56681,15,22.55
1,Division C - Global Brands,Department Store D,276224.8,229157.82,47066.98,60317,60,17.04
1,Division C - Global Brands,Retailer 047,14194.44,20766.54,-6572.1,5740,19,-46.3
1,Division C - Global Brands,Retailer 055,44457.65,53326.08,-8868.43,15769,21,-19.95
1,Division C - Global Brands,Specialty Retailer C,78636.47,91140.06,-12503.59,17100,149,-15.9
1,Division D - Core/Licensed,Retailer 028,161698.37,102418.27,59280.1,19529,3,36.66
1,Division D - Core/Licensed,Department Store C,294516.54,173223.95,121292.59,48203,26,41.18
1,Division D - Core/Licensed,Off-Price Retailer B,210760.03,160679.03,50081.0,66079,8,23.76
1,Division D - Core/Licensed,Retailer 036,39254.25,21937.73,17316.52,6518,13,44.11
1,Division D - Core/Licensed,Specialty Retailer B,4289.67,5186.23,-896.56,1216,3,-20.9
1,Division D - Core/Licensed,Off-Price Retailer C,257040.75,153795.54,103245.21,26532,19,40.17
1,Division D - Core/Licensed,Specialty Retailer D,126692.46,69617.0,57075.46,14660,7,45.05
1,Division D - Core/Licensed,Value Retailer B,87571.84,50886.14,36685.7,9610,18,41.89
1,Division D - Core/Licensed,Value Retailer A,157354.63,100041.59,57313.04,19803,15,36.42
1,Division D - Core/Licensed,Department Store A,5467.11,5965.95,-498.84,1305,10,-9.12
1,Division D - Core/Licensed,Department Store B,621696.8,456243.95,165452.85,120845,112,26.61
1,Division D - Core/Licensed,Brand Direct B,237370.31,146040.25,91330.06,21700,4,38.48
1,Division D - Core/Licensed,Specialty Retailer A,45166.13,32028.9,13137.23,3495,1,29.09
1,Division D - Core/Licensed,Off-Price Retailer A,811602.34,674397.6,137204.74,169831,49,16.91
1,Division D - Core/Licensed,E-Commerce A,125073.17,84038.06,41035.11,23248,8,32.81
1,Division D - Core/Licensed,National Retailer B,5338117.23,3707046.47,1631070.76,946987,173,30.56
1,Division D - Core/Licensed,Department Store E,67645.23,48396.55,19248.68,6202,5,28.46
1,Division D - Core/Licensed,National Retailer A,2034562.91,1622658.92,411903.99,648414,32,20.25
1,Division D - Core/Licensed,Specialty Retailer C,517.63,351.18,166.45,90,13,32.16
1,Division E - Lifestyle,Specialty Retailer B,1417.56,1373.94,43.62,550,1,3.08
1,Division E - Lifestyle,Off-Price Retailer C,12471.83,8468.52,4003.31,1551,1,32.1
1,Division E - Lifestyle,Value Retailer A,27147.69,18874.34,8273.35,7267,10,30.48
1,Division E - Lifestyle,Department Store A,819507.13,666989.83,152517.3,256891,90,18.61
1,Division E - Lifestyle,Department Store B,169025.92,142230.01,26795.91,23767,50,15.85
1,Division E - Lifestyle,Brand Direct B,70219.3,52212.78,18006.52,20706,3,25.64
1,Division E - Lifestyle,Specialty Retailer A,76248.77,49348.47,26900.3,15970,19,35.28
1,Division E - Lifestyle,Off-Price Retailer A,8537.93,10974.26,-2436.33,2929,3,-28.54
1,Division E - Lifestyle,National Retailer B,1789056.47,1435608.03,353448.44,377989,39,19.76
1,Division E - Lifestyle,National Retailer A,942834.87,773497.28,169337.59,143742,16,17.96
1,Division E - Lifestyle,Retailer 047,52.65,46.86,5.79,5,2,11.0
1,Division F - Specialty,Retailer 037,47641.93,29401.34,18240.59,3047,3,38.29
1,Division F - Specialty,Retailer 066,14933.33,13782.13,1151.2,985,4,7.71
1,Division F - Specialty,Retailer 062,25370.88,23203.27,2167.61,2788,21,8.54
1,Division F - Specialty,Retailer 031,29901.35,25911.44,3989.91,3330,16,13.34
1,Division F - Specialty,Retailer 060,8512.24,4636.55,3875.69,552,34,45.53
1,Division F - Specialty,Retailer 042,10968.19,7618.89,3349.3,602,5,30.54
1,Division F - Specialty,Retailer 027,74582.89,43198.72,31384.17,7848,9,42.08
1,Division F - Specialty,Retailer 064,5124.47,3115.92,2008.55,299,2,39.2
1,Division F - Specialty,Retailer 032,87951.61,51485.95,36465.66,8448,4,41.46
1,Division F - Specialty,Department Store D,52888.07,68461.28,-15573.21,8088,11,-29.45
1,Division F - Specialty,Retailer 034,16049.02,11416.2,4632.82,1394,1,28.87
1,Division F - Specialty,Specialty Retailer C,69365.94,53774.22,15591.72,4946,250,22.48
1,Division G - Sports,Retailer 063,13928.92,11277.45,2651.47,755,11,19.04
1,Division G - Sports,Retailer 041,43616.52,30045.57,13570.95,2697,43,31.11
1,Division G - Sports,Specialty Retailer C,18997.78,13519.54,5478.24,1090,9,28.84
1,Division I - Digital,Retailer 021,158220.17,54872.22,103347.95,4012,919,65.32
2,Division A - Core/Licensed,Retailer 033,20525.18,14194.57,6330.61,4398,13,30.84
2,Division A - Core/Licensed,Department Store C,126692.37,79914.74,46777.63,19358,12,36.92
2,Division A - Core/Licensed,Off-Price Retailer B,213540.24,165255.59,48284.65,60010,6,22.61
2,Division A - Core/Licensed,Retailer 067,764.61,535.22,229.39,165,1,30.0
2,Division A - Core/Licensed,Retailer 036,89408.75,74194.18,15214.57,23631,36,17.02
2,Division A - Core/Licensed,Specialty Retailer B,189445.33,148038.18,41407.15,48825,26,21.86
2,Division A - Core/Licensed,Retailer 031,10094.45,6311.78,3782.67,1473,5,37.47
2,Division A - Core/Licensed,Off-Price Retailer C,183139.74,122863.58,60276.16,12344,10,32.91
2,Division A - Core/Licensed,Specialty Retailer D,85026.9,51645.62,33381.28,18954,5,39.26
2,Division A - Core/Licensed,Value Retailer B,27682.03,17160.41,10521.62,3838,6,38.01
2,Division A - Core/Licensed,Value Retailer A,400325.3,276493.39,123831.91,66081,38,30.93
2,Division A - Core/Licensed,Department Store A,1651008.29,1197705.02,453303.27,273662,136,27.46
2,Division A - Core/Licensed,Department Store B,514471.3,384392.31,130078.99,81487,142,25.28
2,Division A - Core/Licensed,Retailer 024,39919.7,25831.37,14088.33,9682,3,35.29
2,Division A - Core/Licensed,Brand Direct B,10167.42,7814.75,2352.67,2543,1,23.14
2,Division A - Core/Licensed,Retailer 050,22790.67,13639.2,9151.47,3851,5,40.15
2,Division A - Core/Licensed,Specialty Retailer A,2164538.85,1551120.35,613418.5,470309,103,28.34
2,Division A - Core/Licensed,E-Commerce A,25796.31,18286.72,7509.59,3171,1,29.11
2,Division A - Core/Licensed,Retailer 022,45306.36,30014.62,15291.74,6888,6,33.75
2,Division A - Core/Licensed,National Retailer B,1638456.68,1305237.96,333218.72,415137,41,20.34
2,Division A - Core/Licensed,Retailer 053,11466.81,6883.36,4583.45,2283,4,39.97
2,Division A - Core/Licensed,Department Store D,36249.07,29661.44,6587.63,10027,10,18.17
2,Division A - Core/Licensed,Retailer 034,22774.63,13095.41,9679.22,2240,1,42.5
2,Division A - Core/Licensed,National Retailer A,1029217.29,912490.8,116726.49,300032,57,11.34
2,Division A - Core/Licensed,Retailer 068,8940.91,4646.37,4294.54,558,1,48.03
2,Division A - Core/Licensed,Specialty Retailer C,2084.55,1354.55,730.0,115,1,35.02
2,Division C - Global Brands,Retailer 046,68136.77,39397.85,28738.92,9872,8,42.18
2,Division C - Global Brands,Retailer 023,258421.06,157588.83,100832.23,28520,12,39.02
2,Division C - Global Brands,Retailer 054,11206.52,6185.24,5021.28,1288,40,44.81
2,Division C - Global Brands,Retailer 033,31703.93,18201.13,13502.8,3801,16,42.59
2,Division C - Global Brands,Retailer 026,151380.57,128066.64,23313.93,30955,51,15.4
2,Division C - Global Brands,Department Store C,168163.91,98014.08,70149.83,21839,10,41.72
2,Division C - Global Brands,Retailer 029,309721.4,205190.43,104530.97,31661,1,33.75
2,Division C - Global Brands,Brand Direct A,918714.27,685223.97,233490.3,154759,390,25.41
2,Division C - Global Brands,Retailer 075,4147.95,3979.86,168.09,488,4,4.05
2,Division C - Global Brands,Retailer 030,548709.54,319626.72,229082.82,65476,20,41.75
2,Division C - Global Brands,Retailer 049,77466.84,62121.28,15345.56,13744,2,19.81
2,Division C - Global Brands,Retailer 045,162867.16,91257.35,71609.81,20076,4,43.97
2,Division C - Global Brands,Retailer 043,36964.04,46050.13,-9086.09,6729,10,-24.58
2,Division C - Global Brands,Department Store A,259287.44,146324.26,112963.18,37147,23,43.57
2,Division C - Global Brands,Department Store B,55411.37,32517.2,22894.17,6150,35,41.32
2,Division C - Global Brands,Retailer 027,30309.55,19118.3,11191.25,3617,5,36.92
2,Division C - Global Brands,Retailer 051,145099.11,124899.2,20199.91,10144,73,13.92
2,Division C - Global Brands,Off-Price Retailer A,204820.38,224354.23,-19533.85,37006,38,-9.54
2,Division C - Global Brands,Warehouse Club A,3622732.34,2475201.82,1147530.52,389152,14,31.68
2,Division C - Global Brands,Department Store D,537899.29,436976.54,100922.75,116804,25,18.76
2,Division C - Global Brands,Retailer 047,1204.69,681.0,523.69,68,35,43.47
2,Division C - Global Brands,Specialty Retailer C,160791.24,100782.18,60009.06,22057,358,37.32
2,Division D - Core/Licensed,Retailer 028,169147.36,103841.67,65305.69,30062,5,38.61
2,Division D - Core/Licensed,Retailer 026,13768.58,13710.38,58.2,2242,11,0.42
2,Division D - Core/Licensed,Department Store C,75603.6,42225.1,33378.5,13537,6,44.15
2,Division D - Core/Licensed,Off-Price Retailer B,204900.99,158026.0,46874.99,63151,6,22.88
2,Division D - Core/Licensed,Retailer 036,17005.62,10125.84,6879.78,2463,5,40.46
2,Division D - Core/Licensed,Off-Price Retailer C,32077.48,21041.84,11035.64,1944,3,34.4
2,Division D - Core/Licensed,Retailer 040,6194.79,4725.47,1469.32,934,1,23.72
2,Division D - Core/Licensed,Specialty Retailer D,186527.1,88894.48,97632.62,18689,7,52.34
2,Division D - Core/Licensed,Retailer 059,20742.16,14384.11,6358.05,4033,7,30.65
2,Division D - Core/Licensed,Value Retailer B,254797.13,160623.52,94173.61,37672,27,36.96
2,Division D - Core/Licensed,Value Retailer A,499748.38,325096.97,174651.41,72837,26,34.95
2,Division D - Core/Licensed,Department Store A,860962.4,625157.32,235805.08,163636,41,27.39
2,Division D - Core/Licensed,Department Store B,261285.26,186569.21,74716.05,54243,75,28.6
2,Division D - Core/Licensed,Retailer 024,45788.86,31350.11,14438.75,9218,3,31.53
2,Division D - Core/Licensed,Brand Direct B,413580.08,276056.43,137523.65,30496,9,33.25
2,Division D - Core/Licensed,Specialty Retailer A,36660.7,22762.22,13898.48,6113,3,37.91
2,Division D - Core/Licensed,Off-Price Retailer A,1063576.8,831254.49,232322.31,241838,54,21.84
2,Division D - Core/Licensed,E-Commerce A,145140.82,98535.76,46605.06,20578,13,32.11
2,Division D - Core/Licensed,National Retailer B,2378468.67,1644933.45,733535.22,432144,58,30.84
2,Division D - Core/Licensed,Department Store E,106067.08,78144.22,27922.86,9907,4,26.33
2,Division D - Core/Licensed,National Retailer A,2710548.64,2174189.32,536359.32,824059,63,19.79
2,Division D - Core/Licensed,Retailer 047,88.37,64.45,23.92,9,1,27.07
2,Division D - Core/Licensed,Specialty Retailer C,96.11,71.36,24.75,15,4,25.75
2,Division E - Lifestyle,Retailer 033,6004.95,3656.61,2348.34,1158,2,39.11
2,Division E - Lifestyle,Specialty Retailer B,44817.86,33821.65,10996.21,4991,2,24.54
2,Division E - Lifestyle,Specialty Retailer D,15727.46,9243.04,6484.42,2658,6,41.23
2,Division E - Lifestyle,Value Retailer A,280820.83,188021.77,92799.06,47857,19,33.05
2,Division E - Lifestyle,Department Store A,2696035.04,2171068.94,524966.1,737464,254,19.47
2,Division E - Lifestyle,Department Store B,688186.93,533936.81,154250.12,99771,123,22.41
2,Division E - Lifestyle,Retailer 076,1380.37,987.02,393.35,350,5,28.5
2,Division E - Lifestyle,Specialty Retailer A,536911.87,381766.74,155145.13,114375,34,28.9
2,Division E - Lifestyle,Off-Price Retailer A,27351.99,22597.16,4754.83,11613,8,17.38
2,Division E - Lifestyle,National Retailer B,1778662.96,1439858.71,338804.25,334784,36,19.05
2,Division E - Lifestyle,National Retailer A,285578.55,229649.86,55928.69,49085,6,19.58
2,Division E - Lifestyle,Specialty Retailer C,13.77,5.53,8.24,2,2,59.84
2,Division F - Specialty,Retailer 037,55848.86,31020.02,24828.84,4784,7,44.46
2,Division F - Specialty,Retailer 031,105176.97,72128.55,33048.42,9359,37,31.42
2,Division F - Specialty,Retailer 060,12143.47,7442.69,4700.78,746,6,38.71
2,Division F - Specialty,Retailer 042,53702.16,29210.18,24491.98,2955,11,45.61
2,Division F - Specialty,Department Store B,169118.79,113329.3,55789.49,12591,20,32.99
2,Division F - Specialty,Retailer 027,92066.35,52827.53,39238.82,10570,11,42.62
2,Division F - Specialty,Off-Price Retailer A,64743.71,107602.5,-42858.79,10459,16,-66.2
2,Division F - Specialty,Retailer 032,80173.34,52008.73,28164.61,8578,8,35.13
2,Division F - Specialty,Retailer 034,15999.29,11827.11,4172.18,1579,2,26.08
2,Division F - Specialty,Retailer 047,6980.17,12681.23,-5701.06,1183,10,-81.68
2,Division F - Specialty,Specialty Retailer C,33185.55,18759.07,14426.48,1932,159,43.47
2,Division G - Sports,Retailer 063,486.64,410.11,76.53,32,3,15.73
2,Division G - Sports,Retailer 041,366.28,258.53,107.75,28,1,29.42
2,Division G - Sports,Retailer 027,12273.41,7694.6,4578.81,688,5,37.31
2,Division G - Sports,Specialty Retailer C,6016.84,3521.59,2495.25,244,15,41.47
2,Division I - Digital,Retailer 021,135891.4,45517.82,90373.58,3290,770,66.5
3,Division A - Core/Licensed,Retailer 028,42256.26,22873.5,19382.76,7232,1,45.87
3,Division A - Core/Licensed,Retailer 033,10965.69,7107.02,3858.67,1697,3,35.19
3,Division A - Core/Licensed,Off-Price Retailer B,220213.57,171495.69,48717.88,52808,6,22.12
3,Division A - Core/Licensed,Retailer 067,2814.64,1785.18,1029.46,618,2,36.58
3,Division A - Core/Licensed,Retailer 036,39486.44,32806.9,6679.54,9348,32,16.92
3,Division A - Core/Licensed,Specialty Retailer B,417201.17,323715.17,93486.0,121657,49,22.41
3,Division A - Core/Licensed,Retailer 035,63271.69,41090.58,22181.11,12822,3,35.06
3,Division A - Core/Licensed,Off-Price Retailer C,191233.35,125673.82,65559.53,22333,18,34.28
3,Division A - Core/Licensed,Specialty Retailer D,75333.81,50124.28,25209.53,13493,3,33.46
3,Division A - Core/Licensed,Value Retailer B,278931.52,185920.58,93010.94,37166,15,33.35
3,Division A - Core/Licensed,Value Retailer A,52519.59,37367.43,15152.16,14243,8,28.85
3,Division A - Core/Licensed,Department Store A,1565966.94,1136705.45,429261.49,330910,132,27.41
3,Division A - Core/Licensed,Department Store B,163331.43,118373.93,44957.5,34471,98,27.53
3,Division A - Core/Licensed,Retailer 024,67385.74,40958.54,26427.2,13889,5,39.22
3,Division A - Core/Licensed,Brand Direct B,6331.4,4409.78,1921.62,1366,2,30.35
3,Division A - Core/Licensed,Retailer 050,16894.09,8920.33,7973.76,2269,3,47.2
3,Division A - Core/Licensed,Specialty Retailer A,773753.02,553894.63,219858.39,137518,79,28.41
3,Division A - Core/Licensed,Off-Price Retailer A,5021.65,5608.82,-587.17,2787,4,-11.69
3,Division A - Core/Licensed,E-Commerce A,101381.88,65502.75,35879.13,22607,8,35.39
3,Division A - Core/Licensed,Retailer 022,99498.67,66224.68,33273.99,14377,10,33.44
3,Division A - Core/Licensed,National Retailer B,2258180.81,1730381.44,527799.37,559462,55,23.37
3,Division A - Core/Licensed,Retailer 034,42341.62,22431.38,19910.24,4525,3,47.02
3,Division A - Core/Licensed,National Retailer A,1086425.45,961413.63,125011.82,279166,74,11.51
3,Division A - Core/Licensed,Retailer 068,7183.12,6362.19,820.93,1037,1,11.43
3,Division A - Core/Licensed,Retailer 047,49.36,35.12,14.24,11,7,28.85
3,Division A - Core/Licensed,Specialty Retailer C,3440.37,2325.36,1115.01,214,2,32.41
3,Division C - Global Brands,Retailer 023,890009.27,527091.74,362917.53,114797,31,40.78
3,Division C - Global Brands,Retailer 054,14712.26,8120.52,6591.74,1492,81,44.8
3,Division C - Global Brands,Retailer 033,107215.97,69554.14,37661.83,16155,65,35.13
3,Division C - Global Brands,Retailer 026,203106.52,151173.34,51933.18,40246,34,25.57
3,Division C - Global Brands,Department Store C,846458.45,477077.03,369381.42,125807,94,43.64
3,Division C - Global Brands,Retailer 029,599306.22,383207.35,216098.87,68497,3,36.06
3,Division C - Global Brands,Retailer 044,17357.17,10091.42,7265.75,2283,6,41.86
3,Division C - Global Brands,Specialty Retailer B,98576.2,113109.15,-14532.95,13338,17,-14.74
3,Division C - Global Brands,Brand Direct A,1307338.09,987595.28,319742.81,198022,434,24.46
3,Division C - Global Brands,Retailer 030,74451.12,45681.77,28769.35,8774,7,38.64
3,Division C - Global Brands,Retailer 061,19438.63,11227.61,8211.02,2384,3,42.24
3,Division C - Global Brands,Retailer 070,12678.77,8116.75,4562.02,1002,158,35.98
3,Division C - Global Brands,Retailer 043,35864.13,42581.57,-6717.44,5883,15,-18.73
3,Division C - Global Brands,Department Store A,106043.02,59500.92,46542.1,14070,21,43.89
3,Division C - Global Brands,Department Store B,488940.91,292820.93,196119.98,52948,150,40.11
3,Division C - Global Brands,Brand Direct B,123352.24,53149.51,70202.73,9088,9,56.91
3,Division C - Global Brands,Retailer 051,5768.61,6005.74,-237.13,439,5,-4.11
3,Division C - Global Brands,Off-Price Retailer A,964360.68,798867.37,165493.31,209147,78,17.16
3,Division C - Global Brands,Warehouse Club A,1228337.47,813888.53,414448.94,106976,10,33.74
3,Division C - Global Brands,Retailer 032,5782.84,2959.79,2823.05,341,3,48.82
3,Division C - Global Brands,Department Store D,203579.65,163773.16,39806.49,44486,32,19.55
3,Division C - Global Brands,Retailer 047,61549.96,82579.25,-21029.29,21138,3,-34.17
3,Division C - Global Brands,Retailer 055,21900.36,19401.43,2498.93,3473,60,11.41
3,Division C - Global Brands,Specialty Retailer C,211749.23,125790.07,85959.16,21237,868,40.59
3,Division D - Core/Licensed,Retailer 028,99089.65,63420.65,35669.0,15269,7,36.0
3,Division D - Core/Licensed,Retailer 026,307944.67,303470.13,4474.54,69216,57,1.45
3,Division D - Core/Licensed,Department Store C,150460.24,88091.01,62369.23,23507,13,41.45
3,Division D - Core/Licensed,Off-Price Retailer B,460206.15,333082.8,127123.35,117789,13,27.62
3,Division D - Core/Licensed,Retailer 067,3101.55,1936.08,1165.47,661,4,37.58
3,Division D - Core/Licensed,Retailer 036,37007.93,19934.72,17073.21,5588,13,46.13
3,Division D - Core/Licensed,Specialty Retailer B,91021.28,73762.5,17258.78,22404,17,18.96
3,Division D - Core/Licensed,Off-Price Retailer C,460427.32,294009.85,166417.47,40456,28,36.14
3,Division D - Core/Licensed,Retailer 040,27227.84,18775.79,8452.05,3852,3,31.04
3,Division D - Core/Licensed,Specialty Retailer D,9148.9,6130.39,3018.51,1013,3,32.99
3,Division D - Core/Licensed,Retailer 059,5811.58,4369.75,1441.83,1112,2,24.81
3,Division D - Core/Licensed,Value Retailer B,69850.4,45244.51,24605.89,9615,6,35.23
3,Division D - Core/Licensed,Value Retailer A,71068.29,45637.1,25431.19,13422,4,35.78
3,Division D - Core/Licensed,Retailer 039,105085.23,83608.49,21476.74,12719,10,20.44
3,Division D - Core/Licensed,Department Store A,178630.36,133452.45,45177.91,26086,37,25.29
3,Division D - Core/Licensed,Department Store B,478755.04,326800.39,151954.65,85084,80,31.74
3,Division D - Core/Licensed,Retailer 024,115879.34,76546.75,39332.59,22069,8,33.94
3,Division D - Core/Licensed,Brand Direct B,115992.1,82217.27,33774.83,18064,4,29.12
3,Division D - Core/Licensed,Specialty Retailer A,26160.57,16791.48,9369.09,3504,2,35.81
3,Division D - Core/Licensed,Off-Price Retailer A,1416176.07,1035853.84,380322.23,255635,61,26.86
3,Division D - Core/Licensed,E-Commerce A,73189.79,49062.75,24127.04,17772,5,32.97
3,Division D - Core/Licensed,National Retailer B,1891424.39,1244160.12,647264.27,384652,53,34.22
3,Division D - Core/Licensed,Retailer 053,24277.14,14442.97,9834.17,4085,5,40.51
3,Division D - Core/Licensed,Department Store E,308650.35,219161.78,89488.57,32953,11,28.99
3,Division D - Core/Licensed,Retailer 034,25406.65,14443.11,10963.54,2471,5,43.15
3,Division D - Core/Licensed,National Retailer A,8734353.94,6314480.93,2419873.01,2033678,83,27.71
3,Division D - Core/Licensed,Specialty Retailer C,52.55,38.66,13.89,10,5,26.43
3,Division E - Lifestyle,Retailer 033,5450.71,3667.35,1783.36,1045,2,32.72
3,Division E - Lifestyle,Retailer 067,1823.57,1244.18,579.39,440,3,31.77
3,Division E - Lifestyle,Specialty Retailer B,62390.24,49188.09,13202.15,11343,6,21.16
3,Division E - Lifestyle,Off-Price Retailer C,14446.82,9787.73,4659.09,1826,2,32.25
3,Division E - Lifestyle,Specialty Retailer D,99677.44,63462.53,36214.91,13597,10,36.33
3,Division E - Lifestyle,Value Retailer A,85290.41,57212.43,28077.98,21983,10,32.92
3,Division E - Lifestyle,Department Store A,1859657.51,1491945.19,367712.32,487630,296,19.77
3,Division E - Lifestyle,Department Store B,397056.71,333766.3,63290.41,55046,134,15.94
3,Division E - Lifestyle,Specialty Retailer A,239554.54,175290.54,64264.0,54035,27,26.83
3,Division E - Lifestyle,Off-Price Retailer A,48524.07,42181.83,6342.24,20725,16,13.07
3,Division E - Lifestyle,National Retailer B,1051996.57,813865.84,238130.73,176934,43,22.64
3,Division E - Lifestyle,National Retailer A,2226470.36,1714791.15,511679.21,600679,30,22.98
3,Division E - Lifestyle,Retailer 047,9.98,8.75,1.23,3,1,12.32
3,Division E - Lifestyle,Specialty Retailer C,14.53,7.05,7.48,2,1,51.48
3,Division F - Specialty,Retailer 037,33280.59,17881.47,15399.12,3004,2,46.27
3,Division F - Specialty,Retailer 066,6013.95,4375.15,1638.8,271,1,27.25
3,Division F - Specialty,Department Store C,4211.84,2421.54,1790.3,279,2,42.51
3,Division F - Specialty,Retailer 071,5957.98,3087.27,2870.71,341,3,48.18
3,Division F - Specialty,Retailer 062,7348.05,7383.73,-35.68,821,9,-0.49
3,Division F - Specialty,Retailer 031,97366.81,70179.52,27187.29,10455,35,27.92
3,Division F - Specialty,Retailer 060,8836.2,5784.12,3052.08,638,12,34.54
3,Division F - Specialty,Retailer 042,91335.87,55378.93,35956.94,4550,10,39.37
3,Division F - Specialty,Retailer 049,18030.79,19701.13,-1670.34,3259,9,-9.26
3,Division F - Specialty,Department Store B,31701.9,22703.03,8998.87,2467,4,28.39
3,Division F - Specialty,Retailer 027,19051.95,12322.58,6729.37,1891,6,35.32
3,Division F - Specialty,Retailer 064,7182.6,4874.4,2308.2,531,7,32.14
3,Division F - Specialty,Retailer 032,212300.04,145786.19,66513.85,23664,24,31.33
3,Division F - Specialty,Department Store D,50511.27,49991.01,520.26,9510,31,1.03
3,Division F - Specialty,Retailer 047,109.06,54.37,54.69,5,5,50.15
3,Division F - Specialty,Specialty Retailer C,69094.87,39872.2,29222.67,4493,297,42.29
3,Division G - Sports,Retailer 041,24444.77,19368.01,5076.76,1566,19,20.77
3,Division G - Sports,Department Store D,14309.34,16327.29,-2017.95,1940,83,-14.1
3,Division G - Sports,Specialty Retailer C,9521.63,6366.69,3154.94,427,4,33.13
3,Division H - Marketplace,Retailer 054,50.54,22.08,28.46,3,3,56.31
3,Division I - Digital,Retailer 021,129359.5,41660.05,87699.45,3364,755,67.8
4,Division A - Core/Licensed,Retailer 026,90517.33,71044.64,19472.69,24821,27,21.51
4,Division A - Core/Licensed,Department Store C,19329.26,14435.09,4894.17,2831,2,25.32
4,Division A - Core/Licensed,Off-Price Retailer B,628572.97,502274.16,126298.81,168050,19,20.09
4,Division A - Core/Licensed,Retailer 067,8784.3,5565.35,3218.95,2007,8,36.64
4,Division A - Core/Licensed,Retailer 036,38629.92,28323.09,10306.83,9888,17,26.68
4,Division A - Core/Licensed,Specialty Retailer B,387548.02,299663.6,87884.42,117881,52,22.68
4,Division A - Core/Licensed,Off-Price Retailer C,489898.3,334126.09,155772.21,34568,28,31.8
4,Division A - Core/Licensed,Specialty Retailer D,109254.18,71721.96,37532.22,25017,6,34.35
4,Division A - Core/Licensed,Value Retailer B,225575.32,135672.49,89902.83,25719,12,39.85
4,Division A - Core/Licensed,Value Retailer A,3237.02,2147.11,1089.91,672,2,33.67
4,Division A - Core/Licensed,Department Store A,1802547.43,1317924.29,484623.14,384582,142,26.89
4,Division A - Core/Licensed,Department Store B,567573.36,410386.24,157187.12,98938,149,27.69
4,Division A - Core/Licensed,Brand Direct B,40232.56,25293.07,14939.49,7890,3,37.13
4,Division A - Core/Licensed,Retailer 050,12080.2,6574.27,5505.93,2052,2,45.58
